Name,Kenpom,PVA,Sagarin,AP,Coaches,Seed
Michigan State,0.9263,17.0,92.53,838,386,2
Villanova,0.939,17.4,91.61,1013,498,2
Virginia,0.9501,17.7,91.81,1347,667,1
Kansas,0.9446,16.7,92.86,1410,675,1
North Carolina,0.9403,18.7,91.86,1566,749,1
Oklahoma,0.9134,15.4,89.97,1088,520,2
Louisville,0.9031,14.7,90.86,46,93,
Wichita St,0.9199,11.5,88.34,1032,461,11
West Virginia,0.9069,15.0,91.01,84,125,3
Kentucky,0.9232,14.4,90.43,1520,749,4
Duke,0.8765,14.3,88.97,1350,686,4
Xavier,0.8984,14.0,88.19,12,25,2
Miami,0.8955,13.7,88.44,,,3
Iowa,0.8724,12.3,87.58,6,8,7
Indiana,0.896,12.8,89.52,755,312,5
Arizona,0.8795,14.1,88.53,917,477,6
Iowa State,0.8843,13.3,86.9,1185,541,4
Purdue,0.8974,14.2,90.15,236,110,5
Oregon,0.909,13.6,87.8,116,33,1
Maryland,0.8635,12.6,87.28,1487,723,5
SMU,0.887,14.4,88.29,112,,
Vanderbilt,0.8476,11.6,87.32,393,153,11
UConn,0.8652,11.4,85.97,307,110,9
Utah,0.8494,10.8,85.82,499,250,3
Texas A&M,0.895,13.5,88.66,72,58,3
Texas,0.8282,9.8,84.55,18,29,6
Cal,0.8557,12.3,85.38,757,350,4
Baylor,0.8545,10.5,86.06,265,145,5
Cincinnati,0.8317,11.2,85.26,63,43,9
Wisconsin,0.8334,9.8,83.72,433,181,7
Valparaiso,0.8199,9.5,82.79,5,,
Gonzaga,0.8748,11.8,87.38,1047,468,11
Seton Hall,0.8581,11.2,84.43,,,6
Notre Dame,0.8192,10.2,84.32,360,172,6
Saint Joseph's,0.81,9.5,82.46,,,8
Saint Mary's,0.8253,10.7,84.91,,,
Texas Tech,0.7843,9.0,82.09,,,8
Butler,0.8237,9.9,85.92,223,132,9
VCU,0.8246,10.9,84.08,,,10
Tulsa,0.7574,7.8,80.28,,1,11
AR Little Rock,0.8131,7.7,80.1,,,12
Syracuse,0.8305,9.6,83.99,,,10
Florida,0.8147,10.2,85.19,,,
Michigan,0.7659,7.9,84.12,126,108,11
Florida State,0.783,8.5,82.53,18,25,
USC,0.7844,9.2,83.3,,,8
Pitt,0.8014,9.2,84.78,,,10
Kansas State,0.7738,8.3,82.36,,,
Creighton,0.8082,8.5,83.14,,,
Clemson,0.7882,8.5,82.24,,,
Yale,0.8221,8.1,81.95,1,,12
South Carolina,0.7926,9.6,82.55,,,
UCLA,0.7205,6.6,80.68,2,48,
Princeton,0.7458,5.9,79.91,,,
Dayton,0.7462,9.5,81.84,12,1,7
Providence,0.8006,9.0,82.15,10,5,9
San Diego State,0.8156,7.8,82.56,2,10,
BYU,0.7757,7.9,83.56,5,,
SF Austin,0.8613,6.7,82.31,,2,14
Oregon State,0.7483,7.6,80.73,,,7
Houston,0.7515,6.9,80.32,,,
Georgia Tech,0.772,8.8,81.87,,,
Monmouth,0.7234,5.9,78.56,,,
Colorado,0.7624,9.2,82.05,,,8
Washington,0.7469,8.1,81.17,,,
NC State,0.7108,6.5,79.92,19,36,
Arkansas,0.7043,7.0,80.37,,,
Ohio State,0.7285,7.0,80.14,,2,
South Dakota St,0.7183,6.3,78.23,,,12
Hawaii,0.7887,6.9,80.48,,,13
Mississippi St,0.7121,5.9,79.02,,,
G Washington,0.709,7.7,80.37,,,
Georgetown,0.7386,7.1,80.71,23,45,
LSU,0.7007,6.8,79.22,268,163,
Stony Brook,0.6881,5.0,77.34,,,13
JMU,0.6976,5.6,77.32,,,
UNC Wilmington,0.7241,6.4,77.58,,,13
Stanford,0.6498,5.2,77.92,,,
Hofstra,0.7128,5.2,76.7,,,
Georgia,0.7461,8.3,80.0,,,
Alabama,0.6829,6.0,77.82,,,
St Bonaventure,0.6856,6.5,77.63,,,
URI,0.6864,6.5,78.92,17,,
Northwestern,0.7144,6.7,80.85,,,
Iona,0.707,4.6,76.61,1,,13
Akron,0.6985,6.6,77.88,,,
Ole Miss,0.7336,6.2,79.07,,,
Northern Iowa,0.7445,5.0,80.06,,,11
Evansville,0.7336,6.2,79.82,,,
Oakland,0.6747,5.4,78.0,,,
Arizona State,0.6741,6.0,78.55,,,
Temple,0.7006,6.5,77.83,,,10
Oklahoma State,0.6593,4.4,78.56,2,,
Boise State,0.6692,5.5,78.56,4,5,
UT Arlington,0.688,4.7,77.82,,,
Marquette,0.6634,5.3,77.74,,1,
Nebraska,0.673,4.8,79.38,,,
William & Mary,0.6972,5.6,77.08,,,
Virginia Tech,0.7588,6.6,79.97,,,
Richmond,0.6395,5.2,77.81,,,
UC Irvine,0.7004,4.8,77.63,1,,
Columbia,0.6385,3.3,75.55,,,
Long Beach St,0.6866,4.0,76.35,,,
Albany,0.6128,2.0,74.68,,,
UCSB,0.7007,3.2,76.92,,,
Chattanooga,0.6334,5.4,75.79,,,12
CSU Bakersfield,0.6889,3.6,75.21,,,15
Siena,0.5936,2.6,74.79,,,
Tennessee,0.6331,4.8,78.35,,,
Davidson,0.629,4.8,76.56,,5,
Memphis,0.7243,6.6,79.98,,,
Milwaukee,0.6054,3.2,75.36,,,
LA Lafayette,0.6502,2.4,75.43,,,
Illinois State,0.6206,1.9,75.01,,,
UAB,0.6256,3.5,75.88,,,
UNLV,0.5617,3.9,76.54,,,
New Mexico St,0.6612,3.2,76.04,,,
Charleston,0.6025,3.1,73.99,,,
Toledo,0.5781,2.5,75.14,,,
UL Monroe,0.6087,2.1,72.95,,,
New Mexico,0.5749,3.7,76.41,,,
Belmont,0.5601,3.1,74.31,,2,
Grand Canyon,0.585,3.2,73.54,,,
Fresno State,0.654,4.4,76.56,,,14
Ohio,0.574,2.9,73.97,,,
Marshall,0.5421,1.4,72.94,,,
Morehead State,0.5735,2.3,73.57,,,
Wake Forest,0.5712,3.1,75.92,,,
Penn State,0.539,2.6,74.28,,,
Ball State,0.5269,1.0,72.06,,,
Nevada,0.5411,2.2,73.8,,,
Pepperdine,0.5539,2.5,74.77,,,
IPFW,0.5705,2.7,72.96,,,
Weber State,0.5598,2.6,73.26,,,15
Towson,0.5458,1.4,72.07,,,
UNC Asheville,0.5982,3.8,73.14,,,15
Old Dominion,0.6394,3.8,76.51,3,1,
Omaha,0.531,1.6,72.55,,,
Northeastern,0.5764,2.3,73.66,,,
Buffalo,0.5753,2.9,73.49,,,14
TCU,0.5378,2.0,74.46,,,
Green Bay,0.6006,2.9,73.92,,,
Illinois,0.5728,2.9,75.46,,,
High Point,0.5105,2.6,72.13,,,
Central Michigan,0.5082,1.1,71.88,1,,
Southern Illinois,0.545,2.3,74.23,,,
Winthrop,0.5263,1.5,71.2,,,
Montana,0.5371,1.1,72.49,,,
Vermont,0.5371,0.4,71.99,,,
Wright State,0.5498,1.4,72.81,,,
Middle Tennessee,0.6534,2.3,75.49,,,15
North Dakota St,0.5436,0.8,72.45,,,
Elon,0.5056,0.7,71.08,,,
LA Tech,0.525,1.4,72.88,,,
TAMU Corpus Christi,0.5018,0.7,70.43,,,
East Tennessee St,0.5377,1.4,71.39,,,
Coastal Carolina,0.49,1.0,70.84,,,
Duquesne,0.475,1.5,72.78,,,
Eastern Michigan,0.5265,2.1,72.32,,,
North Florida,0.4208,0.6,70.97,,,
Northern Illinois,0.4868,1.7,71.67,,,
Wagner,0.4935,-1.4,69.65,,,
Utah State,0.5518,1.9,74.33,,,
Bucknell,0.4783,-0.6,71.96,,,
Detroit,0.4749,0.3,70.18,,,
Lehigh,0.4747,-1.5,69.69,,,
Minnesota,0.358,0.2,71.49,,,
Tennessee St,0.4887,-0.1,70.79,,,
Wyoming,0.4591,-0.2,71.6,,,
Texas Southern,0.4698,-1.4,69.49,,,
Murray State,0.4959,0.2,71.31,,,
Oral Roberts,0.4738,-0.3,70.5,,,
Colorado State,0.5117,1.9,73.5,,,
Furman,0.4826,0.2,69.94,,,
Missouri,0.4634,1.5,73.16,,,
Fordham,0.4606,1.9,72.5,,,
Indiana State,0.4617,0.1,71.67,,,
Mercer,0.4208,0.4,69.8,,,
Kent State,0.4555,0.9,70.98,,,
UMass,0.4618,0.0,71.79,,,
Western Kentucky,0.4918,-0.3,71.04,,,
Tennnessee Tech,0.4106,-0.2,69.74,,,
Wofford,0.4354,-1.7,69.34,,,
Loyola (CHI),0.4564,-0.6,70.7,,,
Fairfield,0.3947,-1.5,69.11,,,
Auburn,0.3855,0.2,71.11,,,
Washington St,0.3982,-0.1,70.81,,,
Georgia State,0.4674,-0.6,70.48,,,
Eastern Washington,0.422,-1.5,69.19,,,
Western Michigan,0.4537,-0.3,70.24,,,
DePaul,0.3995,-1.3,71.44,,,
Western Carolina,0.4326,-1.4,68.0,,,
Eastern Kentucky,0.4222,-1.7,69.14,,,
NJIT,0.3895,-1.4,68.36,,,
Harvard,0.4582,-0.5,72.08,,,
UNC Greensboro,0.385,-3.1,66.7,,,
Sam Houston,0.3803,-2.4,67.74,,,
UCF,0.4041,0.3,70.68,,,
Charlotte,0.4227,-0.8,68.85,,,
IUPUI,0.3887,-2.7,67.21,,,
Georgia Southern,0.4147,-2.8,67.51,,,
North Dakota,0.4154,-2.0,69.01,,,
Rider,0.3748,-3.1,68.51,,,
Denver,0.4289,-0.4,69.15,,,
San Francisco,0.4106,-1.0,69.39,,,
St Peter's,0.3713,-2.3,68.31,,,
Navy,0.4086,-1.7,68.7,,,
Cal Poly,0.3815,-2.1,69.45,,,
East Carolina,0.3794,-0.3,70.33,,,
George Mason,0.3831,-1.6,69.41,,,
Florida Gulf Coast,0.4968,-0.6,71.22,,,16
South Dakota,0.3648,-2.7,67.59,,,
Boston U,0.3767,-2.7,67.82,,,
Idaho,0.3814,-1.9,67.74,,,
Portland,0.3718,-2.0,69.91,,,
Radford,0.3493,-1.6,67.43,,,
UT Martin,0.4076,-2.0,67.7,,,
FIU,0.3512,-2.9,67.67,,,
UC Riverside,0.3557,-3.5,67.33,,,
Bowling Green,0.3678,-2.3,66.96,,,
Army,0.3057,-2.3,66.85,,,
Samford,0.3579,-3.1,66.93,,,
Dartmouth,0.3503,-3.2,67.61,,,
Tulane,0.3659,-1.4,69.64,,,
Gardner-Webb,0.3595,-2.4,66.25,,,
Canisius,0.3328,-3.0,67.8,,,
St John's,0.3379,-2.1,68.64,,,
South Florida,0.333,-2.9,67.41,,,
Incarnate Word,0.3451,-3.8,65.19,,,
Loyola Marymount,0.3526,-2.2,68.58,,,
UTEP,0.3702,-1.9,68.56,,,
CS Northridge,0.3377,-4.1,66.4,,,
Texas State,0.4111,-1.9,67.88,,,
New Hampshire,0.3896,-3.1,66.28,,,
Western Illinois,0.331,-3.0,66.66,,,
Jackson State,0.3473,-3.7,65.45,,,
Southern,0.3471,-2.5,66.33,,,16
Pacific,0.3381,-2.9,68.72,,,
Missouri State,0.3325,-3.0,68.01,,,
Northern Kentucky,0.3097,-4.4,65.84,,,
Hampton,0.3504,-3.6,65.35,,,16
Colgate,0.3276,-4.3,65.8,,,
Saint Louis,0.3191,-2.2,67.86,,,
Manhattan,0.325,-4.3,66.0,,,
Air Force,0.3051,-3.0,66.36,,,
Kennesaw St,0.3133,-4.8,63.97,,,
Santa Clara,0.3165,-3.2,67.39,,,
Drexel,0.3147,-4.4,66.15,,,
Portland State,0.2969,-4.6,65.24,,,
UC Davis,0.3148,-4.1,67.06,,,
Penn,0.3108,-4.1,66.68,,,
Austin Peay,0.3861,-2.8,66.85,,,16
Miami (OH),0.3377,-2.7,66.29,,,
Norfolk State,0.3253,-4.1,66.3,,,
Arkansas State,0.3232,-3.9,65.9,,,
South Alabama,0.3086,-4.5,65.05,,,
Mount St Mary's,0.3147,-4.7,64.99,,,
Montana State,0.3049,-4.8,66.17,,,
Boston College,0.3023,-2.3,68.76,,,
Rice,0.272,-6.0,64.13,,,
Houston Baptist,0.2657,-5.0,63.42,,,
Eastern Illinois,0.2786,-4.5,64.57,,,
UMKC,0.296,-4.9,66.5,,,
St Francis (NY),0.2578,-5.8,63.24,,,
Jacksonville,0.2707,-5.4,63.77,,,
Cornell,0.2594,-5.7,63.77,,,
Idaho State,0.2609,-5.7,63.75,,,
San Jose State,0.2937,-4.6,65.93,,,
Appalachian St,0.3184,-4.5,64.99,,,
Youngstown St,0.2609,-5.2,62.52,,,
CS Fullerton,0.2673,-5.2,65.77,,,
Lipscomb,0.2499,-5.3,64.07,,,
Fairleigh Dickinson,0.273,-4.5,63.28,,,16
South Carolina St,0.2761,-5.0,63.86,,,
Drake,0.2635,-5.3,66.43,,,
San Diego,0.2639,-5.2,64.26,,,
Liberty,0.2326,-5.5,62.15,,,
Troy,0.2464,-6.5,63.62,,,
Delaware,0.2592,-5.9,63.91,,,
Sacramento St,0.2434,-5.1,64.56,,,
La Salle,0.2724,-4.0,64.93,,,
Loyola (MD),0.241,-7.3,63.34,,,
Brown,0.2688,-5.4,65.42,,,
Alabama State,0.2431,-7.3,61.43,,,
Utah Valley,0.2429,-5.8,63.31,,,
LIU Brooklyn,0.2487,-6.7,62.96,,,
Longwood,0.2313,-6.2,62.0,,,
Sacred Heart,0.2251,-8.0,62.08,,,
Campbell,0.2135,-5.9,61.63,,,
Marist,0.2021,-7.9,62.0,,,
NC Central,0.2114,-6.8,61.58,,,
Quinnipiac,0.2146,-7.5,63.42,,,
Bethune-Cookman,0.205,-7.2,60.11,,,
Charleston So,0.1988,-5.8,62.17,,,
Seattle,0.2282,-5.2,63.05,,,
St Francis (PA),0.2179,-6.8,62.03,,,
Cleveland State,0.2014,-5.9,63.54,,,
Alcorn State,0.2111,-8.1,58.16,,,
North Texas,0.2314,-6.2,63.02,,,
Alabama A&M,0.1828,-8.1,60.84,,,
Stetson,0.2865,-5.9,62.45,,,
Morgan State,0.1977,-8.0,61.63,,,
Jacksonville St,0.1997,-7.1,62.57,,,
Florida Atlantic,0.2096,-7.8,62.88,,,
Central Arkansas,0.1584,-8.4,59.0,,,
Robert Morris,0.1985,-7.5,61.42,,,
Rutgers,0.2225,-4.8,64.17,,,
VMI,0.1984,-7.5,60.06,,,
Savannah State,0.1617,-7.4,58.17,,,
SE Louisiana,0.1815,-8.1,60.71,,,
New Orleans,0.1725,-7.9,60.52,,,
UMass Lowell,0.1953,-8.6,60.53,,,
The Citadel,0.1888,-8.1,58.24,,,
Lamar,0.1711,-7.4,59.7,,,
Abiline Christian,0.1757,-7.6,59.75,,,
American,0.2027,-7.9,60.69,,,
USC Upstate,0.172,-8.6,59.5,,,
Holy Cross,0.2749,-6.0,63.35,,,16
Southern Miss,0.1942,-7.1,62.19,,,
MD Eastern Shore,0.1758,-8.5,60.1,,,
Northwestern St,0.1582,-8.9,59.31,,,
Niagara,0.166,-9.5,62.25,,,
N Colorado,0.1852,-7.4,61.06,,,
SIU ED,0.1677,-8.3,61.81,,,
Lafayette,0.1642,-10.6,59.75,,,
Binghamton,0.1661,-9.4,59.79,,,
Presbyterian,0.1421,-7.8,59.4,,,
Howard,0.1403,-8.3,59.47,,,
Coppin State,0.1514,-8.7,58.35,,,
Hartford,0.1826,-9.1,59.61,,,
UMBC,0.1472,-10.3,58.89,,,
UIC,0.1219,-10.0,58.34,,,
UTSA,0.1214,-11.8,57.54,,,
Maine,0.1381,-11.2,56.92,,,
NC A&T,0.1246,-11.0,57.13,,,
McNeese State,0.1491,-10.3,59.29,,,
Bradley,0.1277,-8.8,60.51,,,
Nicholls State,0.1606,-9.1,57.77,,,
N Arizona,0.1082,-10.2,56.15,,,
SE Missouri St,0.1156,-10.8,57.79,,,
Southern Utah,0.1212,-10.7,56.8,,,
Mississippi Valley St,0.1227,-12.2,54.98,,,
Chicago State,0.0703,-11.5,55.64,,,
Prarie View A&M,0.1321,-11.3,56.73,,,
Bryant,0.0993,-11.4,56.41,,,
UT Rio Grande,0.0876,-12.3,55.81,,,
AR Pine Bluff,0.0984,-12.2,54.97,,,
Delaware State,0.0739,-13.0,53.46,,,
Grambling St,0.0932,-12.0,54.25,,,
Florida A&M,0.0668,-15.1,52.75,,,
Central Connecticut St,0.067,-16.8,52.56,,,
